buoyid,alpha_real,alpha_imag
M579D20200910H12,-0.00038435886981103847,0.01853151125856272
M580D20200910H11,-0.0023230871310999765,0.018567436419368043
M581D20200910H12,-0.010117732532393488,-0.0008294716619578108
M582D20200910H11,0.05955280769907317,0.04145357074064218
M583D20200910H11,0.0441301699555967,0.01978227188122018
M584D20200910H11,0.007543798442542043,0.027646311967193072
M585D20200910H11,-0.007181163836776922,0.0060010590356415466
M586D20200910H11,0.044433147147350194,0.01962676867783205
M587D20200910H11,-0.006773649273122521,0.02174915688735743
M588D20200910H11,0.033066995062667394,-0.004202405445956786
M588D20200913H04,-0.014946499909311826,0.00858171523708633
M589D20200911H11,0.010651745656639044,0.004529999294986078
P001D20200910H11,0.027826315984607997,0.022804962695721378
P002D20200911H12,-0.14246610912485028,0.07492521765674175
P003D20200911H11,0.007068958468205298,-0.013600495395323957
S001D20200910H11,0.028985306404796903,0.013963839580639228
S002D20200910H11,0.04187077524907759,0.011288743718803456
S003D20200910H11,0.041012670547843105,0.015996439348777314
S004D20200910H12,0.0228134002307233,0.007767849163565355
S005D20200910H12,0.021538103356921908,-0.005720496166977723
S006D20200910H14,0.016967078070745864,0.008701631694798812
S007D20200910H14,0.013639284617650923,-0.007239476530712156
S008D20200910H14,0.021650222410877634,0.009786467786438534
S009D20200910H17,0.014998049641552757,0.02380380958153597
S010D20200910H17,0.01817736775384773,0.01767188844909858
S011D20200910H17,0.02371572451145209,0.01863978519722492
S012D20200911H11,-0.0073431181102731335,0.02186783672692668
S012D20200918H11,0.033918646786334786,0.030239751013643394
S012D20200921H20,-0.029245499551546282,-0.06980161291928277
S012D20200923H05,0.036724182973691254,0.006162265068089175
S012D20200925H03,0.030250733141124978,0.0022394006524838446
S013D20200911H11,0.03537241339389665,0.0072088785874884105
S014D20200911H12,0.023731607317831038,0.007616533762718967
S015D20200911H12,0.008869066585195462,-0.0014390293456145794
S016D20200911H12,0.014443930977544778,0.0001583835401936922
S017D20200911H12,0.024542567957893047,0.004455240918935541
S018D20200911H17,0.006184460313205906,0.016165582057072105
S019D20200911H12,0.01871894079903691,0.01155226585145025
S020D20200911H12,0.02369064550713394,0.008874164680620427
